0.0,0.9953,0.0011,0.0002,1.0,0.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4339,0.0,0.0,0.5133,1.0,0.0,0.0,0.062,0.9896	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0002,1.0,0.0,0.9868,0.0056,0.0,0.0176,0.9996	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0038,0.0,0.0,0.9942,1.0,0.0,0.0,0.0002,1.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.9138,0.1238,0.0,1e-04,1.0	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.9999,1e-04,0.0,1.0,0.0,0.0,0.0009,0.9997	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0095,0.9774,0.0,0.9998,1e-04	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.9992,0.0,0.0,0.0,0.0,1.0,0.0008,0.8554,0.0006	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.9999,0.0,1.0,0.0,0.0,1.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0018,0.9983,0.0,0.9994,0.0024	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.8255,0.1727,0.1455,0.9263,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.9991,0.0111,0.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1e-04,1.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1e-04,0.0,0.0,0.9996,1.0,0.0,0.0,0.9996,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.9999,0.0472,0.0	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
