0.0029,0.0,0.0,0.9927,1.0,0.0,0.0,0.0321,0.9855	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.9999,0.0,0.0,1.0,1.0,0.0,0.0	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.8422,0.1878,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.3067,0.0002,0.3089	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.9999,0.0,0.0,0.0,0.0148,0.9806,0.0,0.0,0.9968	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.2303,0.9966,0.0,0.0,0.0,1.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0002,0.0,0.9883	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.01,0.9967,0.9999,0.0002,0.0	1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9877,0.0,0.0,0.0,0.0,1.0,0.9999,0.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.7012,0.2839,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9655,0.0474,0.1784,0.2251,0.0012	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0556,0.9364,0.0753,0.3224,0.002	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0055,0.0,1.0,1.0,0.0,0.0,0.0,1.0	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.8603,0.175,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.9998,0.0,1.0,0.9964,0.0029,0.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0049,1e-04,0.4532	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9941,0.9697	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0004,0.0,1.0,0.0,0.0,0.9992	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.9997,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.1288,0.0,0.0264	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.3056,0.038,1e-04	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0003,0.0,0.0,0.9999,1.0,0.0,0.0,0.0116,0.9967	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9697,0.0296	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0007,0.9977	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.2965,0.0,0.0,0.8602,1.0,0.0,0.0,0.0737,0.8018	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0028,0.9974	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9206,0.0,0.0,0.4413,0.9878,0.0033,0.0,0.0,0.9999	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0004	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.9741,1e-04,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1e-04,0.0,1.0,0.0,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9048,0.019	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.9953,0.0011,0.0002,1.0,0.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4339,0.0,0.0,0.5133,1.0,0.0,0.0,0.062,0.9896	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0002,1.0,0.0,0.9868,0.0056,0.0,0.0176,0.9996	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0038,0.0,0.0,0.9942,1.0,0.0,0.0,0.0002,1.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.9138,0.1238,0.0,1e-04,1.0	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.9999,1e-04,0.0,1.0,0.0,0.0,0.0009,0.9997	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0095,0.9774,0.0,0.9998,1e-04	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.9992,0.0,0.0,0.0,0.0,1.0,0.0008,0.8554,0.0006	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.9999,0.0,1.0,0.0,0.0,1.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0018,0.9983,0.0,0.9994,0.0024	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.8255,0.1727,0.1455,0.9263,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.9991,0.0111,0.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1e-04,1.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1e-04,0.0,0.0,0.9996,1.0,0.0,0.0,0.9996,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.9999,0.0472,0.0	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
