threshold	accuracy	precision	recall	f1-score
0.0	0.25	0.2499999908088239	1.0	0.39999678826096485
0.01	0.9669117647058824	0.8933332142222381	0.9852941176470589	0.9370578835416747
0.02	0.9742647058823529	0.917808093450946	0.9852941176470589	0.9503495488417206
0.03	0.9742647058823529	0.917808093450946	0.9852941176470589	0.9503495488417206
0.04	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.05	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.06	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.07	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.08	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.09	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.1	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.11	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.12	0.9705882352941176	0.9166665393518695	0.9705882352941176	0.9428520796183331
0.13	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.14	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.15	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.16	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.17	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.18	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.19	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.2	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.21	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.22	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.23	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.24	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.25	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.26	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.27	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.28	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.29	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.3	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.31	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.32	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.33	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.34	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.35	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.36	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.37	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.38	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.39	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.4	0.9742647058823529	0.9295773338623473	0.9705882352941176	0.9496352218057322
0.41	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.42	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.43	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.44	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.45	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.46	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.47	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.48	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.49	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.5	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.51	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.52	0.9816176470588235	0.9565216005041158	0.9705882352941176	0.9634985795986541
0.53	0.9779411764705882	0.9558822123702628	0.9558823529411765	0.9558772826818682
0.54	0.9779411764705882	0.9558822123702628	0.9558823529411765	0.9558772826818682
0.55	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.56	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.57	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.58	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.59	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.6	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.61	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.62	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.63	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.64	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.65	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.66	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.67	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.68	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
