threshold	accuracy	precision	recall	f1-score
0.0	0.5	0.49999996323529683	1.0	0.6666621895722237
0.01	0.7867647058823529	0.7599998986666802	0.8382352941176471	0.7971977534666215
0.02	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.03	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.04	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.05	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.06	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.07	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.08	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.09	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.1	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.11	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.12	0.7794117647058824	0.756756654492344	0.8235294117647058	0.7887273477800781
0.13	0.7867647058823529	0.7671231825858653	0.8235294117647058	0.7943211911183896
0.14	0.7867647058823529	0.7671231825858653	0.8235294117647058	0.7943211911183896
0.15	0.7867647058823529	0.7671231825858653	0.8235294117647058	0.7943211911183896
0.16	0.7867647058823529	0.7671231825858653	0.8235294117647058	0.7943211911183896
0.17	0.7867647058823529	0.7671231825858653	0.8235294117647058	0.7943211911183896
0.18	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.19	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.2	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.21	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.22	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.23	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.24	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.25	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.26	0.7794117647058824	0.7638887827932246	0.8088235294117647	0.7857092337052592
0.27	0.7720588235294118	0.7605632731601023	0.7941176470588235	0.776973363729696
0.28	0.7720588235294118	0.7605632731601023	0.7941176470588235	0.776973363729696
0.29	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.3	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.31	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.32	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.33	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.34	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.35	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.36	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.37	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.38	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.39	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.4	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.41	0.7647058823529411	0.7571427489796072	0.7794117647058824	0.7681108874511571
0.42	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.43	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.44	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.45	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.46	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.47	0.7573529411764706	0.753623079185061	0.7647058823529411	0.7591190324800585
0.48	0.75	0.7499998897058986	0.75	0.7499949448862783
0.49	0.75	0.7499998897058986	0.75	0.7499949448862783
0.5	0.75	0.7499998897058986	0.75	0.7499949448862783
0.51	0.75	0.7499998897058986	0.75	0.7499949448862783
0.52	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.53	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.54	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.55	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.56	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.57	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.58	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.59	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.6	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.61	0.7573529411764706	0.761193916239714	0.75	0.7555504998959088
0.62	0.7647058823529411	0.7727271556474006	0.75	0.7611889741918767
0.63	0.7647058823529411	0.7727271556474006	0.75	0.7611889741918767
0.64	0.7647058823529411	0.7727271556474006	0.75	0.7611889741918767
0.65	0.7647058823529411	0.7727271556474006	0.75	0.7611889741918767
0.66	0.7647058823529411	0.7727271556474006	0.75	0.7611889741918767
0.67	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.68	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.69	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.7	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.71	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.72	0.7720588235294118	0.784615263905344	0.75	0.7669122381466339
0.73	0.7794117647058824	0.7968748754883007	0.75	0.77272221881097
