1e-04,0.0,0.0,0.9997,1.0,0.0,0.0,0.9492,0.1828	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.879,0.1365,0.0,0.0215,0.9834	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.006,0.995,0.0,0.981,0.0896	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0305,0.9815,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.9863,0.0,0.0,0.0404,1.0,0.0,0.0,0.0002,1.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1e-04,1.0,0.0,0.0,1e-04,0.9987,0.0,0.0,1.0	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0002,0.9998,0.0422,0.9694,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0002,0.1081,0.9067,0.8507,0.0127,0.0811	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,1e-04,0.9949,0.0051,0.9982,0.0,0.0057	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0193,0.0,0.9969,1.0,0.0,0.0,0.9637,0.0036	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0002,0.9745,0.0251,0.1046,0.0023,0.3836	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0004,0.9974,0.0018,0.9745,0.0,0.1032	0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.9992,0.0,0.0003,0.53,0.4548,0.0,1.0,0.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0218,0.6593	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.9922,0.0,0.0274,0.5872,0.3555,0.0,1.0,0.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.002,1.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
