1.0,0.0,0.0,1e-04,0.0011,0.9991,0.0,0.9999,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0004,0.8686	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.001,0.0,0.558,0.5502,0.9995,0.0004,1.0,0.0,0.0	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.1286,0.0755,0.0,0.0098,0.0,1.0,0.0,0.0,1.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0005,0.0009,0.0,0.9939,1.0,0.0,0.0,0.0008,0.9961	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9999,0.0,0.0,0.0003,0.9922,0.0143,0.0,1.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.9723,0.0,0.0,0.0701,0.9527,0.0352,0.0,0.0,1.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0002,0.2752,0.7129,0.9173,0.0107,0.1553	0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9998	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1e-04,0.0002,0.9	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1e-04,0.0,1.0,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1e-04,0.0318,0.9696,0.0016,0.9984,0.0	1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9996	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0005,0.9994,1e-04,0.0,1.0,0.0,0.9726,0.0898	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.9952,0.0006,0.0,0.9888,0.0	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0002,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
